RPC,Address,EHO_Permit_Status,EHO_Permits,Multi_Unit_Permit,SFD_Permit,Demolition_Permit,Development_Project,Construction_Status
15012008,1816 N JACKSON ST,Approved,"ZEHO23-00009 (Approved), ZEHO23-00009 (Approved)",None,None,DEMO24-00005: Finaled; DEMO24-00005: Inspection Scheduled,1816 N Jackson St (EHO) (ID: 19693) - Status: Approved (Not Under Construction),Not Started
11027013,1907 N ROOSEVELT ST,Approved,"ZEHO23-00015 (Approved), ZEHO23-00015 (Approved)",RNEW23-05595: Revisions Received (Residential New - Build 3 New Townhomes (Fee Simple Ownership)...); RNEW24-01189: Application Complete (Residential New - Construct New Townhome...); RNEW23-05595: Revisions Received (Residential New - Build 3 New Townhomes (Fee Simple Ownership)...),None,DEMO21-00260: Issued Awaiting Insp; DEMO21-00260: Expired,1907 N Roosevelt St (EHO) (ID: 19769) - Status: Approved (Not Under Construction),Demolition/Site Prep
06010005,2005 N TAYLOR ST,Approved,"ZEHO23-00011 (Approved), ZEHO23-00011 (Approved)",None,None,DEMO24-00004: Inspection Scheduled; DEMO24-00004: Finaled,2005 N Taylor St (EHO) (ID: 19685) - Status: Approved (Not Under Construction),Not Started
18059002,201 N BARTON ST,Approved,"ZEHO24-00024 (Revisions Received), ZEHO24-00024 (Approved)",None,None,None,201 N Barton St (EHO) (ID: 25936) - Status: Approved (Not Under Construction),Not Started
09009011,2100 N GEORGE MASON DR,Approved,"ZEHO23-00018 (Approved), ZEHO23-00018 (Approved)",CNEW24-01724: Application Complete (Commercial New - New construction of 4-unit Expanded Housing Options building...); CNEW24-01724: Revisions Received (Commercial New - New construction of 4-unit Expanded Housing Options building...); CNEW24-01724: Revisions Required (Commercial New - New construction of 4-unit Expanded Housing Options building...),None,None,2100 N George Mason Dr (EHO) (ID: 19762) - Status: Approved (Not Under Construction),Not Started
16010007,2111 N UHLE ST,Approved,"ZEHO23-00056 (Approved), ZEHO23-00056 (Approved)",CNEW24-01735: Revisions Received (Commercial New - Construction of a 6-unit multifamily dwelling....),None,DEMO26-00038: Awaiting Plans and Documents,2111 N Uhle St (EHO) (ID: 19774) - Status: Approved (Not Under Construction),Not Started
16004051,2129 N TROY ST,Approved,"ZEHO23-00053 (Approved), ZEHO23-00053 (Approved)",None,RNEW24-01771: Awaiting Plans and Documents (Build 2 semi- detached units...); RNEW24-01772: Awaiting Plans and Documents (Build 2 semi- detached units...); RNEW24-01773: Awaiting Plans and Documents (Build 2 semi- detached units...),DEMO24-00053: Issued Awaiting Insp; DEMO24-00053: Finaled,2129 N Troy St (EHO) (ID: 19772) - Status: Completed,Demolition/Site Prep
01069012,2315 N TUCKAHOE ST,Approved,"ZEHO24-00003 (Approved), ZEHO24-00003 (Approved)",None,RNEW24-05613: Finaled (Build New SFD...),DEMO25-00012: Inspection Scheduled; DEMO25-00012: Finaled,2315 N Tuckahoe St (EHO) (ID: 19957) - Status: Approved (Not Under Construction),Complete
11001009,2316 JOHN MARSHALL DR,Approved,"ZEHO23-00064 (Approved), ZEHO23-00064 (Approved)",None,None,DEMO24-00048: Inspection Scheduled; DEMO24-00048: Finaled,2316 John Marshall Dr (EHO) (ID: 19955) - Status: Approved (Not Under Construction),Not Started
05004025,2352 N VERMONT ST,Approved,"ZEHO24-00012 (Approved), ZEHO24-00012 (Approved)",None,None,None,2352 N Vermont St (EHO) (ID: 23780) - Status: Approved (Not Under Construction),Not Started
